device_id,category,brand,model,rating,review_count,specs,label
14700,smart_hub,sber,unknown,4.9,50,"{""protocol"": [""bluetooth"", ""wifi"", ""zigbee"", ""matter-over-wifi""], ""ecosystem"": [""sber"", ""yandex""], ""power_source"": [""battery"", ""mains""], ""zigbee_version"": ""zigbee_3.0"", ""wired_connection"": null}",
14976,smart_hub,,unknown,5.0,6,"{""protocol"": [""zigbee""], ""ecosystem"": [""google"", ""tuya""], ""power_source"": [""ac_dc_adapter""], ""wired_connection"": [""ethernet""], ""has_local_processing"": true, ""max_connected_devices"": 128}",
15233,smart_hub,yandex,YNDX-00571,5.0,12,"{""protocol"": null, ""ecosystem"": [""yandex""], ""power_source"": null, ""has_ir_blaster"": true, ""wired_connection"": null, ""has_local_processing"": true}",
14562,smart_lamp,,unknown,3.6,9,"{""dimmable"": true, ""protocol"": [""wifi""], ""ecosystem"": [""tuya""], ""wattage_w"": 6, ""rgb_support"": true, ""socket_type"": ""GU10"", ""brightness_lm"": 800, ""voltage_max_v"": 220, ""voltage_min_v"": 220, ""color_temp_max_k"": 6500, ""color_temp_min_k"": 2700}",
15202,smart_lamp,,unknown,4.5,13,"{""dimmable"": true, ""protocol"": null, ""ecosystem"": null, ""rgb_support"": true, ""socket_type"": ""E27"", ""color_temp_max_k"": 6500, ""color_temp_min_k"": 2700}",
15032,smart_lamp,,unknown,4.63,119,"{""dimmable"": true, ""protocol"": [""wifi""], ""ecosystem"": [""google"", ""yandex""], ""wattage_w"": 12, ""rgb_support"": true, ""socket_type"": ""GU5.3"", ""brightness_lm"": 960, ""voltage_max_v"": 240, ""voltage_min_v"": 220, ""color_temp_max_k"": 6500, ""color_temp_min_k"": 2500}",
14674,smart_lamp,,unknown,4.8,42,"{""dimmable"": true, ""protocol"": null, ""ecosystem"": [""yandex""], ""rgb_support"": true, ""brightness_lm"": 350}",
15312,smart_lamp,ekf,unknown,4.9,24,"{""dimmable"": true, ""protocol"": [""wifi""], ""ecosystem"": [""sber"", ""vk"", ""yandex""], ""wattage_w"": 36, ""socket_type"": ""integrated"", ""brightness_lm"": 4320}",
14718,smart_lamp,yeelight,unknown,5.0,13,"{""dimmable"": true, ""protocol"": [""bluetooth"", ""wifi""], ""ecosystem"": [""apple"", ""google""], ""wattage_w"": 23, ""socket_type"": ""integrated"", ""brightness_lm"": 1500, ""voltage_max_v"": 240, ""voltage_min_v"": 220, ""lifespan_hours"": 25000, ""color_temp_max_k"": 6500, ""color_temp_min_k"": 2700}",
14555,smart_lock,secure-home,unknown,3.6,14,"{""protocol"": [""wifi""], ""ecosystem"": [""tuya"", ""yandex""], ""power_source"": [""ac_dc_adapter"", ""mains""], ""access_methods"": [""app"", ""rfid_card""], ""door_thickness_max_mm"": 100, ""door_thickness_min_mm"": 100}",
14652,smart_lock,safeburg,Smart Pro,4.0,9,"{""protocol"": [""bluetooth"", ""wifi""], ""ecosystem"": [""tuya""], ""battery_type"": ""AAA"", ""power_source"": [""battery"", ""usb""], ""tamper_alert"": true, ""access_methods"": [""app"", ""fingerprint"", ""key"", ""keypad"", ""rfid_card""], ""battery_quantity"": 4, ""door_thickness_max_mm"": 55, ""door_thickness_min_mm"": 35}",
15123,smart_lock,id,unknown,4.3,6,"{""protocol"": [""wifi""], ""ecosystem"": [""tuya""], ""battery_type"": ""AA"", ""power_source"": [""rechargeable_battery""], ""access_methods"": [""app"", ""face_recognition"", ""fingerprint"", ""key"", ""keypad"", ""rfid_card""], ""door_thickness_max_mm"": 120, ""door_thickness_min_mm"": 40}",
14554,smart_lock,tuya,unknown,4.6,99,"{""protocol"": null, ""ecosystem"": [""tuya""], ""battery_type"": ""AAA"", ""power_source"": [""battery"", ""usb""], ""access_methods"": [""app"", ""fingerprint"", ""key"", ""keypad"", ""rfid_card""], ""battery_quantity"": 4, ""door_thickness_max_mm"": 50, ""door_thickness_min_mm"": 35}",
15284,smart_lock,,unknown,4.8,12,"{""protocol"": null, ""ecosystem"": [""tuya""], ""battery_type"": ""AAA"", ""power_source"": [""battery""], ""access_methods"": [""app"", ""fingerprint"", ""key"", ""keypad"", ""rfid_card""], ""door_thickness_max_mm"": 60, ""door_thickness_min_mm"": 30}",
14645,smart_lock,aqara,A100 Zigbee,5.0,27,"{""protocol"": [""bluetooth"", ""zigbee""], ""ecosystem"": [""apple"", ""aqara"", ""google""], ""battery_type"": ""AA"", ""power_source"": [""battery"", ""usb""], ""tamper_alert"": true, ""access_methods"": [""app"", ""fingerprint"", ""key"", ""keypad"", ""rfid_card""], ""door_thickness_max_mm"": 110, ""door_thickness_min_mm"": 40}",
14868,smart_siren,триколор,GS SRHMP-I1,4.2,15,"{""protocol"": [""zigbee""], ""ecosystem"": [""yandex""], ""ip_rating"": ""IP20"", ""power_source"": [""battery"", ""mains""]}",
15060,smart_siren,триколор,GS SMH-ZW-I1,5.0,11,"{""protocol"": [""zigbee""], ""ecosystem"": [""sber"", ""yandex""], ""power_source"": [""mains"", ""rechargeable_battery""], ""max_volume_db"": 95}",
14943,water_leak_sensor,tuya,WLD3-W,3.5,6,"{""protocol"": [""wifi"", ""zigbee""], ""ecosystem"": [""tuya""], ""ip_rating"": ""IP20"", ""battery_type"": ""AAA"", ""has_audio_alert"": true, ""battery_life_months"": 12, ""detects_leaks_above"": true}",
14726,water_leak_sensor,shopping-house,unknown,4.6,117,"{""protocol"": [""wifi""], ""ecosystem"": [""tuya""], ""battery_type"": ""CR123A"", ""has_audio_alert"": true, ""battery_life_months"": 4, ""detects_leaks_below"": true}",
15112,water_leak_sensor,air.auto,tyua gidrolock wi fi,4.8,198,"{""protocol"": [""wifi""], ""ecosystem"": null, ""battery_type"": ""CR123A"", ""has_audio_alert"": true}",
14742,water_leak_sensor,aqara,SJCGQ11LM,4.9,320,"{""protocol"": [""zigbee""], ""ecosystem"": [""apple"", ""aqara"", ""xiaomi"", ""yandex""], ""ip_rating"": ""IP67"", ""battery_type"": ""CR2032"", ""has_audio_alert"": true, ""battery_life_months"": 12, ""detects_leaks_below"": true, ""min_detected_water_level_mm"": 0.5}",
14785,water_leak_sensor,armacontrol,ARC6-2-15,5.0,16,"{""protocol"": null, ""ecosystem"": null, ""ip_rating"": ""IP54"", ""battery_type"": ""18650"", ""has_audio_alert"": true}",
14721,water_leak_sensor,смарт-штучки,unknown,5.0,5,"{""protocol"": [""zigbee""], ""ecosystem"": [""digma"", ""tuya"", ""vk"", ""yandex""], ""battery_type"": ""AAA"", ""has_audio_alert"": true}",
